,pre,act
0,0.7003679275512695,0.746432900428772
1,0.6826143264770508,0.6470687985420227
2,0.6570141911506653,0.8616952300071716
3,0.7449864149093628,0.8879273533821106
4,0.7814845442771912,0.8839527368545532
5,0.7833574414253235,0.9109798073768616
6,0.7966670989990234,0.9149543642997742
7,0.8150303959846497,0.9189289212226868
8,0.8127126097679138,0.9546999931335449
9,0.8089745044708252,0.8799781799316406
10,0.7746041417121887,0.8569257259368896
11,0.7768210768699646,0.8275139927864075
12,0.7352139949798584,0.8394376635551453
13,0.7001634240150452,0.6733009219169617
14,0.6815589666366577,0.6566077470779419
15,0.5832479000091553,0.45628979802131653
16,0.4499475657939911,0.4499305188655853
17,0.44420984387397766,0.6168621182441711
18,0.5626068711280823,0.6049384474754333
19,0.5448656678199768,0.5572437047958374
20,0.48199331760406494,0.403030663728714
21,0.4203398525714874,0.5691673755645752
22,0.517178475856781,0.5763216018676758
23,0.4640151560306549,0.42926278710365295
24,0.4233790934085846,0.4833168387413025
25,0.5125644207000732,0.56121826171875
26,0.5447688698768616,0.6248112916946411
27,0.5753437280654907,0.5866554975509644
28,0.48862043023109436,0.44754576683044434
29,0.41102591156959534,0.4904710352420807
30,0.46508365869522095,0.4578796327114105
31,0.44920024275779724,0.44357120990753174
32,0.43622180819511414,0.43482717871665955
33,0.44468382000923157,0.5031896233558655
34,0.41441604495048523,0.44754576683044434
35,0.42112717032432556,0.41892892122268677
36,0.38409680128097534,0.35454100370407104
37,0.34964054822921753,0.404620498418808
38,0.3719375431537628,0.3322834372520447
39,0.29619085788726807,0.4006459414958954
40,0.3504469096660614,0.3140004575252533
41,0.3448197841644287,0.36328503489494324
42,0.34491121768951416,0.34818169474601746
43,0.3206039071083069,0.2925378084182739
44,0.30661094188690186,0.2162262201309204
45,0.16559720039367676,0.19953304529190063
46,0.1323620080947876,0.19476357102394104
47,0.1740097552537918,0.2138414829969406
48,0.2108813375234604,0.2933327257633209
49,0.2687268555164337,0.3004869520664215
50,0.29613062739372253,0.2988971173763275
51,0.2700461447238922,0.24007359147071838
52,0.239899143576622,0.20032796263694763
53,0.20504078269004822,0.19158393144607544
54,0.20634980499744415,0.2241753488779068
55,0.19493548572063446,0.16694164276123047
56,0.15986470878124237,0.16296707093715668
57,0.1331215798854828,0.1407095193862915
58,0.12386906147003174,0.18204498291015625
59,0.15088534355163574,0.19635340571403503
60,0.1741943508386612,0.2289448231458664
61,0.19516891241073608,0.19396866858005524
62,0.11667926609516144,0.10652828216552734
63,0.09988386183977127,0.0612182654440403
64,0.10033952444791794,9.999999747378752e-06
65,0.09483912587165833,0.011138775385916233
66,0.09393627196550369,0.012728600762784481
67,0.0911676213145256,0.02703702636063099
68,0.0938340425491333,0.02703702636063099
